Player Name,Credits,Player Type,Team,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
Aaron Hardie,7,ALL,PBKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdul Samad,6.5,BAT,LSG,8.333333333,1.333333333,75.33333333,21.66666667,12.17666667,53,118.4933333,0,0,4,4.666666667,4.666666667,0,8.333333333,18,37.66666667,0.666666667,0,35,10.23666667,16,0,0
Abhinandan Singh,5,BOWL,RCB,7,1,110,40,18.3,90,122.2,0,0,10,5,2,0,0,0,0,0,0,0,0,0,0,0
Abhinav Manohar,6.5,BAT,SRH,6.333333333,0.333333333,77,31,13.83333333,58,112.5333333,0,0,7,3.333333333,3.333333333,0,6.333333333,0,0,0,0,0,0,0,0,0
Abhishek Sharma,8.5,ALL,SRH,18,0.833333333,434,51.5,34.71333333,142.3333333,139.79,0,1.166666667,20.83333333,11.33333333,2.833333333,0,10,45,64.83333333,1.833333333,0,28.33333333,8.853333333,19,0.76,2
Abishek Porel,6.5,WK,DC,19,1,330,42.5,20.475,118,132.98,0,1,18.5,7.5,3,0,9,0,0,0,0,0,0,0,0,0
Adam Zampa,7.5,BOWL,SRH,22,0,15,7,3,24,62.5,0,0,1,0,1,0,22,467,652,31,43617,21.03,8.38,15.06,0,1
Aiden Markram,8,ALL,LSG,46,9,1011,68,28.89,784,128.95,0,5,74,36,25,0,46,121,172,2,45292,86,8.53,60.5,0,0
Ajay Mandal,6.5,ALL,DC,20,6,310,0,22.1,240,129.2,0,1,28,15,6,0,18,360,480,14,0,34.3,8,25.7,0,0
Ajinkya Rahane,7.5,BAT,KKR,11.8,1.066666667,299.8666667,46.55555556,26.55866667,242.5333333,115.7033333,0.133333333,1.866666667,31.06666667,6.666666667,4.666666667,0,11.53333333,0,0,0,0,0,0,0,0,0
